team,gender,senior_year,youth_level,youth_year,status
South Korea,m,2010,u20,2001,not_qualified
Spain,m,2010,u20,2001,not_qualified
Switzerland,m,2010,u20,2001,not_qualified
United States,m,2010,u20,2001,ingested
Uruguay,m,2010,u20,2001,not_qualified
Algeria,m,2010,u20,2003,not_qualified
Argentina,m,2010,u20,2003,ingested
Australia,m,2010,u20,2003,ingested
Brazil,m,2010,u20,2003,ingested
Cameroon,m,2010,u20,2003,not_qualified
Chile,m,2010,u20,2003,not_qualified
Denmark,m,2010,u20,2003,not_qualified
England,m,2010,u20,2003,ingested
France,m,2010,u20,2003,not_qualified
Germany,m,2010,u20,2003,ingested
Ghana,m,2010,u20,2003,not_qualified
Greece,m,2010,u20,2003,not_qualified
Honduras,m,2010,u20,2003,not_qualified
Italy,m,2010,u20,2003,not_qualified
Ivory Coast,m,2010,u20,2003,ingested
Japan,m,2010,u20,2003,ingested
Mexico,m,2010,u20,2003,ingested
Netherlands,m,2010,u20,2003,not_qualified
New Zealand,m,2010,u20,2003,not_qualified
Nigeria,m,2010,u20,2003,not_qualified
North Korea,m,2010,u20,2003,not_qualified
Paraguay,m,2010,u20,2003,ingested
Portugal,m,2010,u20,2003,not_qualified
Serbia,m,2010,u20,2003,not_qualified
Slovakia,m,2010,u20,2003,ingested
Slovenia,m,2010,u20,2003,not_qualified
South Africa,m,2010,u20,2003,not_qualified
South Korea,m,2010,u20,2003,ingested
Spain,m,2010,u20,2003,ingested
Switzerland,m,2010,u20,2003,not_qualified
United States,m,2010,u20,2003,ingested
Uruguay,m,2010,u20,2003,not_qualified
Algeria,m,2010,u20,2005,not_qualified
Argentina,m,2010,u20,2005,ingested
Australia,m,2010,u20,2005,ingested
Brazil,m,2010,u20,2005,ingested
Cameroon,m,2010,u20,2005,not_qualified
Chile,m,2010,u20,2005,ingested
Denmark,m,2010,u20,2005,not_qualified
England,m,2010,u20,2005,not_qualified
France,m,2010,u20,2005,not_qualified
Germany,m,2010,u20,2005,ingested
Ghana,m,2010,u20,2005,not_qualified
Greece,m,2010,u20,2005,not_qualified
Honduras,m,2010,u20,2005,ingested
Italy,m,2010,u20,2005,ingested
Ivory Coast,m,2010,u20,2005,not_qualified
Japan,m,2010,u20,2005,ingested
Mexico,m,2010,u20,2005,not_qualified
Netherlands,m,2010,u20,2005,ingested
New Zealand,m,2010,u20,2005,not_qualified
Nigeria,m,2010,u20,2005,ingested
North Korea,m,2010,u20,2005,not_qualified
Paraguay,m,2010,u20,2005,not_qualified
Portugal,m,2010,u20,2005,not_qualified
Serbia,m,2010,u20,2005,not_qualified
Slovakia,m,2010,u20,2005,not_qualified
Slovenia,m,2010,u20,2005,not_qualified
South Africa,m,2010,u20,2005,not_qualified
South Korea,m,2010,u20,2005,ingested
Spain,m,2010,u20,2005,ingested
Switzerland,m,2010,u20,2005,ingested
United States,m,2010,u20,2005,ingested
Uruguay,m,2010,u20,2005,not_qualified
Algeria,m,2010,u17,1999,not_qualified
Argentina,m,2010,u17,1999,not_qualified
Australia,m,2010,u17,1999,ingested
Brazil,m,2010,u17,1999,ingested
Cameroon,m,2010,u17,1999,not_qualified
Chile,m,2010,u17,1999,not_qualified
Denmark,m,2010,u17,1999,not_qualified
England,m,2010,u17,1999,not_qualified
France,m,2010,u17,1999,not_qualified
Germany,m,2010,u17,1999,ingested
Ghana,m,2010,u17,1999,ingested
Greece,m,2010,u17,1999,not_qualified
Honduras,m,2010,u17,1999,not_qualified
Italy,m,2010,u17,1999,not_qualified
Ivory Coast,m,2010,u17,1999,not_qualified
Japan,m,2010,u17,1999,not_qualified
Mexico,m,2010,u17,1999,ingested
Netherlands,m,2010,u17,1999,not_qualified
New Zealand,m,2010,u17,1999,ingested
Nigeria,m,2010,u17,1999,not_qualified
North Korea,m,2010,u17,1999,not_qualified
Paraguay,m,2010,u17,1999,ingested
Portugal,m,2010,u17,1999,not_qualified
Serbia,m,2010,u17,1999,not_qualified
Slovakia,m,2010,u17,1999,not_qualified
Slovenia,m,2010,u17,1999,not_qualified
South Africa,m,2010,u17,1999,not_qualified
South Korea,m,2010,u17,1999,not_qualified
Spain,m,2010,u17,1999,ingested
Switzerland,m,2010,u17,1999,not_qualified
United States,m,2010,u17,1999,ingested
Uruguay,m,2010,u17,1999,ingested
Algeria,m,2010,u17,2001,not_qualified
Argentina,m,2010,u17,2001,ingested
Australia,m,2010,u17,2001,ingested
Brazil,m,2010,u17,2001,ingested
Cameroon,m,2010,u17,2001,not_qualified
Chile,m,2010,u17,2001,not_qualified
Denmark,m,2010,u17,2001,not_qualified
England,m,2010,u17,2001,not_qualified
France,m,2010,u17,2001,ingested
Germany,m,2010,u17,2001,not_qualified
Ghana,m,2010,u17,2001,not_qualified
Greece,m,2010,u17,2001,not_qualified
Honduras,m,2010,u17,2001,not_qualified
Italy,m,2010,u17,2001,not_qualified
Ivory Coast,m,2010,u17,2001,not_qualified
Japan,m,2010,u17,2001,ingested
Mexico,m,2010,u17,2001,not_qualified
Netherlands,m,2010,u17,2001,not_qualified
New Zealand,m,2010,u17,2001,not_qualified
Nigeria,m,2010,u17,2001,ingested
North Korea,m,2010,u17,2001,not_qualified
Paraguay,m,2010,u17,2001,ingested
Portugal,m,2010,u17,2001,not_qualified
Serbia,m,2010,u17,2001,not_qualified
Slovakia,m,2010,u17,2001,not_qualified
Slovenia,m,2010,u17,2001,not_qualified
South Africa,m,2010,u17,2001,not_qualified
South Korea,m,2010,u17,2001,not_qualified
Spain,m,2010,u17,2001,ingested
Switzerland,m,2010,u17,2001,not_qualified
United States,m,2010,u17,2001,ingested
Uruguay,m,2010,u17,2001,not_qualified
Algeria,m,2010,u17,2003,not_qualified
Argentina,m,2010,u17,2003,ingested
Australia,m,2010,u17,2003,ingested
Brazil,m,2010,u17,2003,ingested
Cameroon,m,2010,u17,2003,ingested
Chile,m,2010,u17,2003,not_qualified
Denmark,m,2010,u17,2003,not_qualified
England,m,2010,u17,2003,not_qualified
France,m,2010,u17,2003,not_qualified
Germany,m,2010,u17,2003,not_qualified
Ghana,m,2010,u17,2003,not_qualified
Greece,m,2010,u17,2003,not_qualified
Honduras,m,2010,u17,2003,not_qualified
Italy,m,2010,u17,2003,not_qualified
Ivory Coast,m,2010,u17,2003,not_qualified
Japan,m,2010,u17,2003,not_qualified
Mexico,m,2010,u17,2003,ingested
Netherlands,m,2010,u17,2003,not_qualified
New Zealand,m,2010,u17,2003,not_qualified
Nigeria,m,2010,u17,2003,ingested
North Korea,m,2010,u17,2003,not_qualified
